	データ名	グループ属性	L*(C)	a*(C)	b*(C)
  2617 	d TVH Y1	SCI	33.15	-7.73	5.44
  2618 	2618 (2022/01/25 15:09:29)	SCI	33.33	-7.74	5.35
  2619 	2619 (2022/01/25 15:09:39)	SCI	33.28	-7.76	5.43
  2620 	2620 (2022/01/25 15:11:42)	SCI	33.14	-7.75	5.45
  2621 	2621 (2022/01/25 15:11:55)	SCI	33.31	-7.74	5.39
  2622 	2622 (2022/01/25 15:12:04)	SCI	33.25	-7.76	5.45
  2623 	d Lv Y1	SCI	59.10	12.85	-41.14
  2624 	2624 (2022/01/25 15:12:34)	SCI	58.91	12.80	-40.97
  2625 	2625 (2022/01/25 15:12:43)	SCI	59.30	12.76	-41.02
  2626 	2626 (2022/01/25 15:12:56)	SCI	58.90	12.69	-40.83
  2627 	2627 (2022/01/25 15:13:05)	SCI	59.08	12.90	-41.17
  2628 	2628 (2022/01/25 15:13:14)	SCI	59.29	12.76	-41.03
  2629 	b PG Y12	SCI	35.23	-25.78	8.63
  2630 	2630 (2022/01/25 15:13:45)	SCI	35.24	-25.79	8.63
  2631 	2631 (2022/01/25 15:13:55)	SCI	35.36	-25.64	8.58
  2632 	2632 (2022/01/25 15:14:07)	SCI	35.22	-25.82	8.65
  2633 	2633 (2022/01/25 15:14:16)	SCI	35.22	-25.97	8.75
  2634 	2634 (2022/01/25 15:14:25)	SCI	35.34	-25.82	8.63
  2635 	b PG Y11	SCI	35.20	-25.75	8.38
  2636 	2636 (2022/01/25 15:14:53)	SCI	35.17	-25.83	8.45
  2637 	2637 (2022/01/25 15:15:02)	SCI	35.15	-25.83	8.50
  2638 	2638 (2022/01/25 15:15:13)	SCI	35.12	-25.91	8.49
  2639 	2639 (2022/01/25 15:15:22)	SCI	35.14	-25.86	8.43
  2640 	2640 (2022/01/25 15:15:31)	SCI	35.15	-25.81	8.48
  2641 	e CdYOH Y1	SCI	64.35	46.40	63.64
  2642 	2642 (2022/01/25 15:15:59)	SCI	64.00	46.10	63.26
  2643 	2643 (2022/01/25 15:16:10)	SCI	64.32	46.37	63.64
  2644 	2644 (2022/01/25 15:16:22)	SCI	62.47	40.48	60.63
  2645 	2645 (2022/01/25 15:16:31)	SCI	62.56	40.79	60.79
  2646 	2646 (2022/01/25 15:16:40)	SCI	62.59	40.82	60.71
  2647 	h IBk Y1	SCI	24.27	0.17	-0.54
  2648 	2648 (2022/01/25 15:17:08)	SCI	24.50	0.08	-0.50
  2649 	2649 (2022/01/25 15:17:17)	SCI	24.31	0.14	-0.50
  2650 	2650 (2022/01/25 15:17:28)	SCI	24.34	0.18	-0.51
  2651 	2651 (2022/01/25 15:17:37)	SCI	24.31	0.08	-0.46
  2652 	2652 (2022/01/25 15:17:45)	SCI	24.39	0.11	-0.54
  2653 	e SG Y1	SCI	29.76	-10.26	6.26
  2654 	2654 (2022/01/25 15:18:13)	SCI	29.82	-10.31	6.18
  2655 	2655 (2022/01/25 15:18:22)	SCI	29.72	-10.29	6.32
  2656 	2656 (2022/01/25 15:18:33)	SCI	29.74	-10.33	6.28
  2657 	2657 (2022/01/25 15:18:41)	SCI	29.70	-10.41	6.26
  2658 	2658 (2022/01/25 15:18:50)	SCI	29.64	-10.45	6.17
  2659 	h CdYLt 81	SCI	85.13	4.97	95.17
  2660 	2660 (2022/01/25 15:19:30)	SCI	85.20	4.89	95.19
  2661 	2661 (2022/01/25 15:19:40)	SCI	85.38	4.71	95.61
  2662 	2662 (2022/01/25 15:19:51)	SCI	84.97	4.46	94.92
  2663 	2663 (2022/01/25 15:20:00)	SCI	85.03	4.53	94.91
  2664 	2664 (2022/01/25 15:20:09)	SCI	85.23	4.49	95.29
  2665 	b PYLt Y1	SCI	86.20	-1.86	94.82
  2666 	2666 (2022/01/25 15:20:37)	SCI	86.10	-1.98	94.52
  2667 	2667 (2022/01/25 15:20:47)	SCI	86.29	-1.87	94.94
  2668 	2668 (2022/01/25 15:21:00)	SCI	83.91	-6.69	90.99
  2669 	2669 (2022/01/25 15:21:10)	SCI	84.22	-6.31	91.50
  2670 	2670 (2022/01/25 15:21:19)	SCI	84.57	-5.78	91.99
  2671 	d CdYLtH Z1	SCI	82.96	7.02	89.55
  2672 	2672 (2022/01/25 15:21:50)	SCI	82.87	7.01	89.67
  2673 	2673 (2022/01/25 15:21:59)	SCI	82.71	6.90	89.01
  2674 	2674 (2022/01/25 15:22:10)	SCI	81.77	4.08	87.81
  2675 	2675 (2022/01/25 15:22:19)	SCI	81.62	3.90	87.28
  2676 	2676 (2022/01/25 15:22:28)	SCI	81.13	3.24	86.44
  2677 	d BS Z1	SCI	34.59	13.42	11.36
  2678 	2678 (2022/01/25 15:22:56)	SCI	34.70	13.40	11.16
  2679 	2679 (2022/01/25 15:23:05)	SCI	34.74	13.43	11.27
  2680 	2680 (2022/01/25 15:23:16)	SCI	34.74	13.30	11.01
  2681 	2681 (2022/01/25 15:23:25)	SCI	34.75	13.41	11.21
  2682 	2682 (2022/01/25 15:23:34)	SCI	34.84	13.41	11.10
  2683 	h PWEx Y1	SCI	96.98	-1.20	1.90
  2684 	2684 (2022/01/25 15:24:05)	SCI	97.18	-1.23	2.07
  2685 	2685 (2022/01/25 15:24:15)	SCI	97.11	-1.26	2.18
